task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Reading comprehension (SQuADv2),passage + question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer text (or no-answer),1D (t) (inferred),Capped (inferred)
Reading comprehension (RACE),passage + question + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option (label),0D (inferred),Fixed (inferred)
Yes/no QA (BoolQ),passage + yes/no question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,truth-value label,0D (inferred),Fixed (inferred)
Textual entailment (CB),premise + hypothesis (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,entailment label,0D (inferred),Fixed (inferred)
Causal reasoning choice (COPA),premise + alternatives (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct alternative label,0D (inferred),Fixed (inferred)
Textual entailment (RTE),sentence pair (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,entailment label,0D (inferred),Fixed (inferred)
Word sense disambiguation (WiC),two sentences with target word (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,same-meaning label,0D (inferred),Fixed (inferred)
"Coreference classification (WSC, SuperGLUE)",passage + pronoun question (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,coreference label,0D (inferred),Fixed (inferred)
Multi-answer RC (MultiRC),passage + questions + answer candidates (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,answer correctness labels,0D (inferred),Fixed (inferred)
Reading comprehension (ReCoRD),passage + query + candidate entities (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct entity choice (label),0D (inferred),Fixed (inferred)
Natural language inference (ANLI),sentence pair (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,entailment/contradiction/neutral label,0D (inferred),Fixed (inferred)
Arithmetic problem solving,arithmetic question in natural language,1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,numeric answer,0D (inferred),Fixed (inferred)
Word scrambling/manipulation,scrambled word (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,original word (text),1D (t) (inferred),Capped (inferred)
SAT analogies,analogy prompt + options (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,correct option label,0D (inferred),Fixed (inferred)
News article generation,title/subtitle + few-shot news articles (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,news article text,1D (t) (inferred),Capped (inferred)
Novel word usage in sentence,definition of new word + examples (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,sentence using new word (text),1D (t) (inferred),Capped (inferred)
Grammar correction,ungrammatical sentence (text),1D (t) (inferred),Capped (inferred),Not specified in the paper.,Not specified in the paper.,corrected sentence (text),1D (t) (inferred),Capped (inferred)
