paper_dir,step1_label,final_label,final_dims,ocr_dims,task_dims,task_csv_dims,task_md_dims,dimension_source,confidence,ocr_evidence,task_evidence,notes
BIBLIOTHEQUE/03_COMP-REAS/DeeBERT- Dynamic Early Exiting for Accelerating BERT Inference,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| classification | natural language text (inferred) | 1D (t) (inferred) | Not specified in the paper. | Dynamic (inferred) | Constructed (inferred) | class label | 0D ...,
BIBLIOTHEQUE/03_COMP-REAS/Deep Equilibrium Models,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/DeepSeek-R1- Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Deformable DETR- Deformable Transformers for End-to-End Object Detection,hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred); 0D (inferred) | TASK-DOMAINS.md:7:| Object detection | Images (feature maps) | 2D (x, y) (inferred) | Not specified in the paper. | Dynamic (inferred) | Constructed (inferred) | Bounding boxes and clas...",
BIBLIOTHEQUE/03_COMP-REAS/Depth-Adaptive Transformers,transformer_yes,1D_only,1D,,1D;2D,1D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| translation (sequence-to-sequence generation) | source sequence tokens (x) | 1D (t) (inferred) | Not specified in the paper. | Static (inferred) | Direct (inferred) ...,
BIBLIOTHEQUE/03_COMP-REAS/DiffSAT- Differential MaxSAT Layer for SAT Solving,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Satisfying assignment search (SAT solving) | CNF formula (clauses/literals) | 2D (x, y) (inferred) | Open (inferred) | Dynamic (inferred) | Constructed (inferred) | ...",
BIBLIOTHEQUE/03_COMP-REAS/Don't throw the baby out with the bathwater- How and why deep learning for ARC,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving,transformer_yes,multi-D,1D;2D;3D;4D,,1D;2D;3D;4D,1D;2D;3D;4D,1D;2D;3D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, t) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=4D (x, y, z, t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t) (inferred); 1D (t) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Efficient Evolutionary Program Synthesis,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Efficiently Allocating Test-Time Compute for LLM Agents,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/End-to-End Test-Time Training for Long Context,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| next-token prediction (language modeling) | tokens (context sequence) | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Constructed (inferred) | token di...,
BIBLIOTHEQUE/03_COMP-REAS/Enhanced Enumeration Techniques for Syntax-Guided Synthesis,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Bit-vector program synthesis (example-based SyGuS) | Input-output examples (bit-vector tuples); grammar/specification; natural language description (when provided) |...,
BIBLIOTHEQUE/03_COMP-REAS/Enhanced Scene Understanding on 4D Point Cloud,hybrid_transformer_yes,multi-D,1D;4D,,1D;4D,1D;4D,1D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:2:out_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:3:in_dimension=4D (x, y, z, t)",
BIBLIOTHEQUE/03_COMP-REAS/Evolutionary Test-Time Compute,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/Fixed Point Diffusion Models (FPDM),transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 0D | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.md:7:| image generation | noisy latent images (from noise distribution $q(X_T)$); timestep t; optional class labels | 2D (x, y); 0D | Fixed | Static (inferred) | Direct (in...",
BIBLIOTHEQUE/03_COMP-REAS/Formal Mathematics Statement Curriculum Learning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/From Parrots to Von Neumanns- How Evolutionary Test-Time Compute Achieved SOTA on ARC-AGI,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
"BIBLIOTHEQUE/03_COMP-REAS/Gated Attention for LLMs- Non-linearity, Sparsity, Sink-Free",transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Generative Language Modeling for Automated Theorem Proving,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Graph of Thoughts (GoT),hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/GSM8K- Training Verifiers to Solve Math Word Problems,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Hierarchical Reasoning Model (HRM),hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/Implicit Factorized Transformer (IFactFormer),transformer_yes,multi-D,3D;4D,,3D;4D,3D;4D,3D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) | TASK-DOMAINS.md:7:| prediction (forecasting) of turbulence velocity fields | velocity fields from preceding time points | 4D (x, y, z, t) | Fixed | Static (inferred) | Constructed (infe...",
BIBLIOTHEQUE/03_COMP-REAS/Improving MoE Compute Efficiency by Composing Weight and Data Sparsity,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred); 2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Language Agent Tree Search (LATS),transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/LeaF- Learning Frames for 4D Point Cloud Sequence Understanding,hybrid_transformer_yes,multi-D,1D;4D,,1D;4D,1D;4D,1D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=4D (x, y, z, t)",
BIBLIOTHEQUE/03_COMP-REAS/Learning Explanatory Rules from Noisy Data,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:22:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:23:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:24:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Less is More- Recursive Reasoning with Tiny Networks,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/MaskGIT- Masked Generative Image Transformer,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=0D (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 0D (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Memorizing Transformers,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Language modeling (next-token prediction) | Tokens | 1D (t) (inferred) | Capped (inferred) | Dynamic (inferred) | Constructed (inferred) | Tokens (next-token predict...,
BIBLIOTHEQUE/03_COMP-REAS/MemoryLLM- Plug-n-Play Interpretable Feed-Forward Memory for Transformers,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Nested Learning- The Illusion of Deep Learning Architecture,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Nystromformer- A Nystrom-Based Algorithm for Approximating Self-Attention,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Olympiad-level formal mathematical reasoning with large language models (AlphaProof),transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
"BIBLIOTHEQUE/03_COMP-REAS/Physics of Language Models- Part 4.1, Architecture Design and the Magic of Canon Layers",hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Plan-and-Solve Prompting,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/PonderNet- Learning to Ponder,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 2D (x, y) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y); 1D (t)",
BIBLIOTHEQUE/03_COMP-REAS/POPE- Learning to Reason on Hard Problems via Privileged On-Policy Exploration,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Precise Zero-Shot Dense Retrieval without Relevance Labels,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Product of Experts with LLMs- Boosting Performance on ARC Is a Matter of Perspective,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.md:7:| grid-to-grid transformation (ARC-AGI/ConceptARC) | input-output example grids and a test input grid | 2D (x, y) (inferred) | Capped (inferred) | Not specified in the...",
"BIBLIOTHEQUE/03_COMP-REAS/ProofWriter- Generating Implications, Proofs, and Abductive Statements over Natural Language",transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=0D (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/ReAct- Synergizing Reasoning and Acting in Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/REALM- Retrieval-Augmented Language Model Pre-Training,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/Reasoning with Language Model is Planning with World Model (RAP),transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Recursive Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Reflection System for the Abstraction and Reasoning Corpus,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Reflexion- Language Agents with Verbal Reinforcement Learning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Relational recurrent neural networks,hybrid_transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) | TASK-DOMAINS.csv:3:out_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/Resonant Sparse Geometry Networks,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Hierarchical sequence classification | real-valued feature sequences | 1D (t) (inferred) | Fixed | Dynamic (inferred) | Constructed (inferred) | class label | 0D (in...,
BIBLIOTHEQUE/03_COMP-REAS/RetentiveBEV- BEV transformer for visual 3D object detection,hybrid_transformer_yes,multi-D,2D;3D,,2D;3D,2D;3D,2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 3D (x, y, t) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 3D (x, y, t)",
BIBLIOTHEQUE/03_COMP-REAS/Rethinking Attention with Performers,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/RETRO-style retrieval-augmented pretraining and variants,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Revisiting the Test-Time Scaling of o1-like Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Rewarding Progress- Scaling Automated Process Verifiers for LLM Reasoning (PAV - -progress rewards-),transformer_yes,1D_only,1D,,1D;2D,1D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
