paper_dir,class_code,A_hits,B_hits,C_hits,D_hits,label,confidence,evidence_lines,notes
BIBLIOTHEQUE/03_COMP-REAS/Advancing Process Verification for LLM Reasoning,COMP-REAS,0,0,0,0,transformer_yes,high,title_override_force_transformer_yes,title_override_force_transformer_yes
BIBLIOTHEQUE/03_COMP-REAS/An online sequence-to-sequence model for noisy speech recognition,COMP-REAS,0,0,2,15,transformer_no,medium,"D@19: Recently new models have been developed that overcome these shortcomings. These models, which we call online sequence-to-sequence models ...",
BIBLIOTHEQUE/03_COMP-REAS/ARC-AGI Without Pretraining (CompressARC),COMP-REAS,5,0,0,0,transformer_yes,high,A@13: Conventional wisdom in the age of LLMs dictates that solving IQ-test-like visual puzzles from the ARC-AGI-1 benchmark requires capabiliti...,
BIBLIOTHEQUE/03_COMP-REAS/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus,COMP-REAS,14,2,0,0,transformer_yes,high,"A@42: In the last years, most approaches for ARC-AGI relied on discrete program search, a brute force methodology. Recently, Large Language Mod... | B@52: ""brain"". Another interesting line of research is aiming at critical NCAs (Pontes-Filho et al., 2023; Guichard, 2024), i.e., CA models ope...",
BIBLIOTHEQUE/03_COMP-REAS/ArcMemo- Abstract Reasoning Composition with Lifelong LLM Memory,COMP-REAS,9,0,4,0,transformer_yes,high,A@1: # ARCMEMO: ABSTRACT REASONING COMPOSITION WITH LIFELONG LLM MEMORY,
"BIBLIOTHEQUE/03_COMP-REAS/Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT)",COMP-REAS,84,2,24,0,transformer_yes,high,"A@1: # CLOSED-LOOP TRANSFORMERS: AUTOREGRESSIVE MODELING AS ITERATIVE LATENT EQUILIBRIUM | B@17: The Transformer architecture [1] has become the foundation of modern artificial intelligence. From language modeling [2, 3] to code gener...",
BIBLIOTHEQUE/03_COMP-REAS/Beyond A-- Planning with Transformers,COMP-REAS,24,0,20,0,transformer_yes,high,A@1: # Beyond $A^*$ : Better Planning with Transformers via Search Dynamics Bootstrapping,
BIBLIOTHEQUE/03_COMP-REAS/Beyond Brute Force- A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2,COMP-REAS,26,0,0,0,transformer_yes,high,"A@19: In this work, we demonstrate how our neuro-symbolic reasoning framework augments existing large language models (LLMs) to tackle ARC-AGI-...",
BIBLIOTHEQUE/03_COMP-REAS/Combining Induction and Transduction for Abstract Reasoning,COMP-REAS,17,0,1,0,transformer_yes,high,"A@29: Our study is tightly linked to program synthesis. We represent functions f as Python code, meaning that induction synthesizes programs. W...",
BIBLIOTHEQUE/03_COMP-REAS/Compositional Planning Using Optimal Option Models,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/ConceptMoE- Adaptive Token-to-Concept Compression for Implicit Compute Allocation,COMP-REAS,11,8,32,0,transformer_yes,high,"A@11: Large language models allocate uniform computation across all tokens, ignoring that some sequences are trivially predictable while others... | B@106: **Merging strategy** We can either sum all tokens within a chunk to obtain the concept, which maximally preserves the information of each...",
BIBLIOTHEQUE/03_COMP-REAS/DeeBERT- Dynamic Early Exiting for Accelerating BERT Inference,COMP-REAS,38,0,0,0,transformer_yes,high,A@1: # **DeeBERT: Dynamic Early Exiting for Accelerating BERT Inference**,
BIBLIOTHEQUE/03_COMP-REAS/Deep Equilibrium Models,COMP-REAS,26,8,3,8,hybrid_transformer_yes,high,"A@9: We present a new approach to modeling sequential data: the deep equilibrium model (DEQ). Motivated by an observation that the hidden laye... | B@9: We present a new approach to modeling sequential data: the deep equilibrium model (DEQ). Motivated by an observation that the hidden laye... | D@32: **Deep sequence models.** Given an input sequence $\mathbf{x}_{1:T} = [x_1, \dots, x_T] \in \mathbb{R}^{T \times p}$ , where $x_i \in \ma...",
BIBLIOTHEQUE/03_COMP-REAS/DeepCoder- Learning to Write Programs,COMP-REAS,0,0,1,7,transformer_no,medium,D@11: We develop a first line of attack for solving programming competition-style problems from input-output examples using deep learning. The ...,
BIBLIOTHEQUE/03_COMP-REAS/DeepProbLog- Neural Probabilistic Logic Programming,COMP-REAS,0,0,0,4,transformer_no,medium,"D@158: - T1: addition(3, 5,8): Instead of using labeled single digits, we train on pairs of images, labeled with the sum of the individual label...",
BIBLIOTHEQUE/03_COMP-REAS/DeepSeek-R1- Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,COMP-REAS,14,0,2,0,transformer_yes,high,A@3: # DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,
BIBLIOTHEQUE/03_COMP-REAS/Deformable DETR- Deformable Transformers for End-to-End Object Detection,COMP-REAS,23,16,1,5,hybrid_transformer_yes,high,"A@1: # DEFORMABLE DETR: DEFORMABLE TRANSFORMERS FOR END-TO-END OBJECT DETECTION | B@39: **Efficient Attention Mechanism.** Transformers (Vaswani et al., 2017) involve both self-attention and cross-attention mechanisms. One of... | D@15: Despite its interesting design and good performance, DETR has its own issues: (1) It requires much longer training epochs to converge tha...",
BIBLIOTHEQUE/03_COMP-REAS/Depth-Adaptive Transformers,COMP-REAS,17,10,26,0,transformer_yes,high,A@1: # DEPTH-ADAPTIVE TRANSFORMER | B@17: We encode the input sequence using a standard Transformer encoder to generate the output sequence with a varying amount of computation in...,
BIBLIOTHEQUE/03_COMP-REAS/Differentiable Convex Optimization Layers,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/DiffSAT- Differential MaxSAT Layer for SAT Solving,COMP-REAS,2,0,0,0,transformer_yes,high,"A@15: The first end-to-end learning-based solver is NeuroSAT [16], which models the SAT problem as a classification task and trains a GNN-based...",
BIBLIOTHEQUE/03_COMP-REAS/Don't throw the baby out with the bathwater- How and why deep learning for ARC,COMP-REAS,21,2,4,0,transformer_yes,high,"A@7: Concretely, we propose a methodology for training on ARC, starting from pretrained LLMs, and enhancing their ARC reasoning. We also propo... | B@93: **Model choice** We base our approach on the LongT5 encoder-decoder model [19], leveraging its extended context length to accommodate lar...",
BIBLIOTHEQUE/03_COMP-REAS/Dream to Control- Learning Behaviors by Latent Imagination (Dreamer),COMP-REAS,0,0,0,9,transformer_no,medium,"D@19: We present Dreamer, an agent that learns long-horizon behaviors from images purely by latent imagination. A novel actor critic algorithm ...",
BIBLIOTHEQUE/03_COMP-REAS/DreamCoder,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving,COMP-REAS,3,1,0,0,transformer_yes,high,"A@55: In the domain of autonomous driving, there has been significant research focus on spatio-temporal modeling. BEVFormer [44] employs spatio... | B@94: state, denoted as $\tilde{s}_t = \gamma \cdot LN(s_t) + \beta$ . With the motion of the vehicle, the deterministic history $h_t$ can esta...",
"BIBLIOTHEQUE/03_COMP-REAS/Dyna, an Integrated Architecture for Learning, Planning, and Reacting",COMP-REAS,0,0,0,4,transformer_no,medium,D@61: Among the reinforcement learning algorithms that can be used in Steps 3 and 5.3 of the Dyna algorithm (Figure 2) are the adaptive heurist...,
BIBLIOTHEQUE/03_COMP-REAS/Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping,COMP-REAS,0,0,0,1,uncertain,low,"D@267: We performed one Mountain Car experiment with Dyna-MG as a *control* algorithm (Algorithm 4), comparing it with model-free Sarsa (i.e., A...",
BIBLIOTHEQUE/03_COMP-REAS/Efficient Evolutionary Program Synthesis,COMP-REAS,11,0,0,0,transformer_yes,high,A@11: My Approach 03 (High) o3-pro (High Pareto Frontier ARC-AGI-1 SCORE (%) ARC-AGI-2 o4-mini (Medium) O3 (Low) Claude Sonnet 4 (Thinking 16k)...,
BIBLIOTHEQUE/03_COMP-REAS/Efficiently Allocating Test-Time Compute for LLM Agents,COMP-REAS,18,0,4,5,hybrid_transformer_yes,high,"A@1: # LEARNING WHEN TO PLAN: EFFICIENTLY ALLOCATING TEST-TIME COMPUTE FOR LLM AGENTS | D@141: We then used Proximal Policy Optimization (PPO) (Schulman et al., 2017) to fine-tune Llama-3.1-8B-Instruct agents in Crafter, optimizing ...",
BIBLIOTHEQUE/03_COMP-REAS/End-to-End Differentiable Proving,COMP-REAS,0,1,0,0,uncertain,low,"B@216: To overcome the computational limitations of the end-to-end differentiable prover introduced in this paper, we want to investigate the us...",
BIBLIOTHEQUE/03_COMP-REAS/End-To-End Memory Networks (MemN2N),COMP-REAS,0,0,1,17,transformer_no,medium,"D@25: In this work, we present a novel recurrent neural network (RNN) architecture where the recurrence reads from a possibly large external me...",
BIBLIOTHEQUE/03_COMP-REAS/End-to-End Test-Time Training for Long Context,COMP-REAS,28,13,53,10,hybrid_transformer_yes,high,"A@9: We formulate long-context language modeling as a problem in continual learning rather than architecture design. Under this formulation, w... | B@23: On the other hand, Transformers with self-attention still struggle to efficiently process long context equivalent to years of human exper... | D@13: Figure 1. Scaling with context length, in terms of test loss (left) and latency (right). **Left:** Our method (TTT-E2E) turns the worst l...",
BIBLIOTHEQUE/03_COMP-REAS/Enhanced Enumeration Techniques for Syntax-Guided Synthesis,COMP-REAS,2,0,0,0,transformer_yes,high,"A@41: Syntax-guided synthesis has been a prevalent theme in various computer-aided programming systems. However, the domain of bit-vector synth...",
BIBLIOTHEQUE/03_COMP-REAS/Enhanced Scene Understanding on 4D Point Cloud,COMP-REAS,16,11,0,3,hybrid_transformer_yes,high,"A@13: The field of 4D point cloud understanding is rapidly developing with the goal of analyzing dynamic 3D point cloud sequences. However, it ... | B@13: The field of 4D point cloud understanding is rapidly developing with the goal of analyzing dynamic 3D point cloud sequences. However, it ... | D@49: Previous image-based video analysis approaches (Crasto et al. 2019) extract the global feature via RNN or 1D CNN (Lea et al. 2017). After...",
BIBLIOTHEQUE/03_COMP-REAS/Enhancing Modern SAT Solver With Machine Learning,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Evolutionary Test-Time Compute,COMP-REAS,22,0,3,0,transformer_yes,high,A@1: **Jeremy's Substack** Subscribe Sign in How I came in first on ARC-AGI-Pub using **Sonnet 3.5 with Evolutionary Test-time Compute** See m...,
BIBLIOTHEQUE/03_COMP-REAS/Fixed Point Diffusion Models (FPDM),COMP-REAS,19,0,0,0,transformer_yes,high,A@11: #### Diffusion Transformer (DiT): 674M Parameters,
BIBLIOTHEQUE/03_COMP-REAS/Formal Mathematics Statement Curriculum Learning,COMP-REAS,7,0,3,0,transformer_yes,high,"A@37: Our contributions are the following: we present lean-gym, a simple REPL interface for interacting with the Lean theorem prover; we propos...",
BIBLIOTHEQUE/03_COMP-REAS/From Parrots to Von Neumanns- How Evolutionary Test-Time Compute Achieved SOTA on ARC-AGI,COMP-REAS,24,0,3,0,transformer_yes,high,A@11: Large language models are the Math Olympiad but fail at children's puzzles. This paradox exposes their fundamental limitation: they strug...,
"BIBLIOTHEQUE/03_COMP-REAS/Gated Attention for LLMs- Non-linearity, Sparsity, Sink-Free",COMP-REAS,6,7,16,0,transformer_yes,high,"A@3: # Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free | B@9: Gating mechanisms have been widely utilized, from early models like LSTMs (Hochreiter & Schmidhuber, 1997) and Highway Networks (Srivasta...",
BIBLIOTHEQUE/03_COMP-REAS/Generalized Planning for the Abstraction and Reasoning Corpus (GPAR),COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Generative Language Modeling for Automated Theorem Proving,COMP-REAS,18,1,4,2,hybrid_transformer_yes,high,"A@7: We explore the application of transformer-based language models to automated theorem proving. This work is motivated by the possibility t... | B@222: The number of expansions we use per proof search may appear as relatively low, but it's important to realize that it already requires a s... | D@36: **Deep learning applied to automated theorem-proving** *HOList* [30] proposes a formal environment based on HOL Light. They achieve their...",
BIBLIOTHEQUE/03_COMP-REAS/Generative Modeling via Drifting,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Goal-Aware Neural SAT Solver (QuerySAT - goal-aware guidance),COMP-REAS,0,0,0,1,uncertain,low,D@211: [1] proposed a Graph Neural Network (GNN) architecture called NeuroSAT that is trained using single-bit supervision to predict whether th...,
BIBLIOTHEQUE/03_COMP-REAS/Graph of Thoughts (GoT),COMP-REAS,42,0,1,1,hybrid_transformer_yes,high,A@1: # Graph of Thoughts: Solving Elaborate Problems with Large Language Models | D@269: We detail different prompting paradigms in Section 1 and Table 1. There are numerous other works related to prompting. We now briefly sum...,
BIBLIOTHEQUE/03_COMP-REAS/GSM8K- Training Verifiers to Solve Math Word Problems,COMP-REAS,11,0,5,0,transformer_yes,high,"A@12: State-of-the-art language models can match human performance on many tasks, but they still struggle to robustly perform multi-step mathem...",
BIBLIOTHEQUE/03_COMP-REAS/Guiding High-Performance SAT Solvers with Unsat-Core Predictions,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Hierarchical Reasoning Model (HRM),COMP-REAS,16,1,6,10,hybrid_transformer_yes,high,"A@9: Reasoning, the process of devising and executing complex goal-oriented action sequences, remains a critical challenge in AI. Current larg... | B@305: Some linear-attention variants, such as Log-linear Attention <sup>101</sup>, share an RNN-like state-update that can be interpreted as pr... | D@73: Figure 3: Comparison of forward residuals and PCA trajectories. HRM shows hierarchical convergence: the H-module steadily converges, whil...",
BIBLIOTHEQUE/03_COMP-REAS/Hybrid computing using a neural network with dynamic external memory,COMP-REAS,0,0,0,18,transformer_no,medium,D@47: Our first experiments investigated the capacity of the DNC to perform question answering. To compare DNCs to other neural network archite...,
BIBLIOTHEQUE/03_COMP-REAS/Implicit Factorized Transformer (IFactFormer),COMP-REAS,7,4,4,0,transformer_yes,high,"A@11: ## An implicit factorized transformer with applications to fast prediction of three-dimensional turbulence | B@36: incorporating self-attention, cross-attention, and a series of point-wise multilayer perceptrons (MLPs). Hao et al. [28] designed a gener...",
BIBLIOTHEQUE/03_COMP-REAS/Improving MoE Compute Efficiency by Composing Weight and Data Sparsity,COMP-REAS,3,0,40,0,transformer_yes,high,A@21: Mixture-of-Experts (MoE) layers [1; 2] have enabled more efficient scaling of Transformers through weight sparsity: they replicate the FF...,
BIBLIOTHEQUE/03_COMP-REAS/Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets,COMP-REAS,0,0,2,24,transformer_no,medium,D@58: Hochreiter and Schmidhuber [20] introduced the Long Short Term Memory network (LSTM) architecture. While this model was originally develo...,
BIBLIOTHEQUE/03_COMP-REAS/Language Agent Tree Search (LATS),COMP-REAS,21,0,5,0,transformer_yes,high,"A@7: While language models (LMs) have shown potential across a range of decision-making tasks, their reliance on simple acting processes limit...",
BIBLIOTHEQUE/03_COMP-REAS/Latent Execution for Neural Program Synthesis (LaSynth),COMP-REAS,0,0,10,3,transformer_no,medium,D@155: **Baselines.** *Bunel et al.* [9] designed the first program synthesis model for the Karel benchmark with a similar high-level design as ...,
BIBLIOTHEQUE/03_COMP-REAS/LeaF- Learning Frames for 4D Point Cloud Sequence Understanding,COMP-REAS,8,1,1,3,hybrid_transformer_yes,high,"A@39: 4D point cloud sequence understanding. Compared with understanding static 3D point clouds, understanding 4D point cloud sequences require... | B@153: To be specific, the queries and keys are generated from the region frame feature but the values are generated from the camera frame featu... | D@41: Equivariant feature learning. The seminal work of Group Equivariant Convolution Networks [4] (G-CNN) starts a trend of leveraging group e...",
BIBLIOTHEQUE/03_COMP-REAS/Learning a Natural Language Interface with Neural Programmer,COMP-REAS,0,0,5,8,transformer_no,medium,D@49: - Question RNN that processes the question and converts the tokens to a distributed representation. We use an LSTM network (Hochreiter & ...,
BIBLIOTHEQUE/03_COMP-REAS/Learning a SAT Solver from Single-Bit Supervision (NeuroSAT),COMP-REAS,0,0,0,2,transformer_no,medium,D@37: A SAT problem has a simple syntactic structure and therefore could be encoded into a vector space using standard methods such as an RNN. ...,
BIBLIOTHEQUE/03_COMP-REAS/Learning Explanatory Rules from Noisy Data,COMP-REAS,1,0,0,0,transformer_yes,high,"A@1121: Guillame-Bert, Broda, and Garcez (2010) describe an approach to learning definite clauses which is similar, in various ways, to our appro...",
BIBLIOTHEQUE/03_COMP-REAS/Learning Factored Representations in a Deep Mixture of Experts,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Learning Iterative Reasoning through Energy Diffusion,COMP-REAS,0,0,0,1,uncertain,low,"D@307: **Extension to Visual Sudoku.** IRED can also be extended to deal with other input formats, such as images. To illustrate this, we conduc...",
BIBLIOTHEQUE/03_COMP-REAS/Learning Online Alignments with Continuous Rewards Policy Gradient,COMP-REAS,0,0,2,20,transformer_no,medium,D@1: # Learning Online Alignments with Continuous Rewards Policy Gradient,
BIBLIOTHEQUE/03_COMP-REAS/Learning to Transduce with Unbounded Memory,COMP-REAS,0,0,1,32,transformer_no,medium,"D@25: short-term memory (LSTM) cells [1, 5] can learn some transductions when tested on inputs of the same length as seen in training, they fai...",
BIBLIOTHEQUE/03_COMP-REAS/Less is More- Recursive Reasoning with Tiny Networks,COMP-REAS,6,4,5,5,hybrid_transformer_yes,high,A@9: Hierarchical Reasoning Model (HRM) is a novel approach using two small neural networks recursing at different frequencies. This biologica... | B@208: | w/self-attention | 74.7 | 42 | 1 | 7M | | D@85: # Adaptive computational time (ACT) using Q-learning,
BIBLIOTHEQUE/03_COMP-REAS/Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis,COMP-REAS,0,0,11,7,transformer_no,medium,"D@53: with reference programs and suffer from the problem of *Program Aliasing*: For a small number of input-output examples, there can be many...",
BIBLIOTHEQUE/03_COMP-REAS/Lie-Access Neural Turing Machines (LANTM),COMP-REAS,0,0,0,11,transformer_no,medium,"D@23: To experiment with this approach, we implement a neural Turing machine with an LSTM controller and several versions of Lie-access memory,...",
BIBLIOTHEQUE/03_COMP-REAS/Logic Tensor Networks- Deep Learning and Logical Reasoning from Data and Knowledge,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Long Short-Term Memory,COMP-REAS,0,0,0,65,transformer_no,medium,"D@21: Learning to store information over extended time intervals via recurrent backpropagation takes a very long time, mostly due to insufficie...",
BIBLIOTHEQUE/03_COMP-REAS/MaskGIT- Masked Generative Image Transformer,COMP-REAS,17,3,14,0,transformer_yes,high,A@1: ## MaskGIT: Masked Generative Image Transformer | B@31: self-attention allows the model to generate new tokens from generated tokens in all directions. We find that the mask scheduling (*i.e.* ...,
"BIBLIOTHEQUE/03_COMP-REAS/Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero)",COMP-REAS,0,0,3,3,transformer_no,medium,"D@40: Value equivalent models were subsequently extended to optimising value (with actions). TreeQN [10] learns an abstract MDP model, such tha...",
BIBLIOTHEQUE/03_COMP-REAS/Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm (AlphaZero),COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Mastering the Game of Go with Deep Neural Networks and Tree Search (AlphaGo),COMP-REAS,0,0,0,4,transformer_no,medium,"D@29: Figure 1 | Neural network training pipeline and architecture. a, A fast rollout policy $p_\pi$ and supervised learning (SL) policy networ...",
BIBLIOTHEQUE/03_COMP-REAS/Memorizing Transformers,COMP-REAS,30,4,14,1,transformer_yes,high,"A@1: # MEMORIZING TRANSFORMERS | B@57: The architecture of our kNN-augmented transformer is shown in Figure 2. The bulk of the model is a vanilla, decoder-only transformer (Vas... | D@39: Truncated backpropagation through time (Williams & Peng, 1990) was originally introduced as a way of training recurrent neural networks (...",
BIBLIOTHEQUE/03_COMP-REAS/MemoryLLM- Plug-n-Play Interpretable Feed-Forward Memory for Transformers,COMP-REAS,40,15,34,0,transformer_yes,high,"A@3: # MemoryLLM: Plug-n-Play Interpretable Feed-Forward Memory for Transformers | B@7: Understanding how transformer components operate in LLMs is important, as it is at the core of recent technological advances in artificia...",
BIBLIOTHEQUE/03_COMP-REAS/Nested Learning- The Illusion of Deep Learning Architecture,COMP-REAS,11,0,2,0,transformer_yes,high,A@29: Figure 1: The uniform and reusable structure as well as multi time scale update in the brain are the key components to unlock the continu...,
BIBLIOTHEQUE/03_COMP-REAS/Neural GPUs Learn Algorithms,COMP-REAS,0,0,0,14,transformer_no,medium,"D@19: Deep neural networks have recently proven successful at various tasks, such as computer vision (Krizhevsky et al., 2012), speech recognit...",
BIBLIOTHEQUE/03_COMP-REAS/Neural Logic Machines (NLM),COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Neural Machine Translation by Jointly Learning to Align and Translate,COMP-REAS,0,0,2,17,transformer_no,medium,"D@33: Recently, a number of papers have proposed the use of neural networks to directly learn this conditional distribution (see, e.g., Kalchbr...",
BIBLIOTHEQUE/03_COMP-REAS/Neural Module Networks (NMN),COMP-REAS,0,0,1,15,transformer_no,medium,"D@17: Concretely, given an image and an associated question (e.g. where is the dog?), we wish to predict a corresponding answer (e.g. on the co...",
BIBLIOTHEQUE/03_COMP-REAS/Neural networks and physical systems with emergent collective computational abilities,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Neural Ordinary Differential Equations (Neural ODEs),COMP-REAS,0,0,0,9,transformer_no,medium,"D@13: Models such as residual networks, recurrent neural network decoders, and normalizing flows build complicated transformations by composing...",
BIBLIOTHEQUE/03_COMP-REAS/Neural Programmer- Inducing Latent Programs with Gradient Descent,COMP-REAS,0,0,0,31,transformer_no,medium,D@29: The goal of this work is to develop a model that does not require substantial human supervision and is broadly applicable across differen...,
BIBLIOTHEQUE/03_COMP-REAS/Neural Programmer-Interpreters (NPI),COMP-REAS,0,0,0,22,transformer_no,medium,"D@13: In this paper, we develop a compositional architecture that learns to represent and interpret programs. We refer to this architecture as ...",
BIBLIOTHEQUE/03_COMP-REAS/Neural Random-Access Machines,COMP-REAS,0,0,0,7,transformer_no,medium,"D@17: Deep learning is successful for two reasons. First, deep neural networks are able to represent the ""right"" kind of functions; second, dee...",
BIBLIOTHEQUE/03_COMP-REAS/Neural Turing Machines (NTM),COMP-REAS,0,0,0,22,transformer_no,medium,"D@51: A crucial innovation to recurrent networks was the Long Short-Term Memory (LSTM) (Hochreiter and Schmidhuber, 1997). This very general ar...",
BIBLIOTHEQUE/03_COMP-REAS/Nystromformer- A Nystrom-Based Algorithm for Approximating Self-Attention,COMP-REAS,29,41,2,0,transformer_yes,high,A@9: Transformers have emerged as a powerful tool for a broad range of natural language processing tasks. A key component that drives the impr... | B@1: # Nyströmformer: A Nyström-based Algorithm for Approximating Self-Attention,
BIBLIOTHEQUE/03_COMP-REAS/Olympiad-level formal mathematical reasoning with large language models (AlphaProof),COMP-REAS,4,0,1,0,transformer_yes,high,"A@40: While formal systems provide verifiable grounding, considerable progress in AI mathematical reasoning has also occurred using large langu...",
BIBLIOTHEQUE/03_COMP-REAS/OptNet- Differentiable Optimization as a Layer in Neural Networks,COMP-REAS,0,0,0,0,uncertain,low,,
"BIBLIOTHEQUE/03_COMP-REAS/Physics of Language Models- Part 4.1, Architecture Design and the Magic of Canon Layers",COMP-REAS,50,2,94,1,hybrid_transformer_yes,high,"A@9: Understanding architectural differences in language models is challenging, especially at academic-scale pretraining (e.g., 1.3B parameter... | B@17: ZA sincerely thanks Vahab Mirrokni for the invitation to the Yale workshop in October 2023, where this research was sparked through enlig... | D@27: Challenge 3: Grokking, Data Quality, and Curriculum Learning. Failures in complex reasoning tasks typically stem from deficiencies in tra...",
BIBLIOTHEQUE/03_COMP-REAS/Plan-and-Solve Prompting,COMP-REAS,36,0,0,0,transformer_yes,high,A@1: # Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,
BIBLIOTHEQUE/03_COMP-REAS/Pointer Networks,COMP-REAS,0,0,0,15,transformer_no,medium,D@13: Recurrent Neural Networks (RNNs) have been used for learning functions over sequences from examples for more than three decades [3]. Howe...,
BIBLIOTHEQUE/03_COMP-REAS/PonderNet- Learning to Ponder,COMP-REAS,10,0,0,2,hybrid_transformer_yes,high,"A@44: The PonderNet architecture requires a step function s of the form $\hat{y}_n, h_{n+1}, \lambda_n = s(x, h_n)$ , as well as an initial sta... | D@91: Figure 1: Performance on the parity task. a) Interpolation. Top: accuracy for both PonderNet(blue) and ACT(orange). Bottom: number of pon...",
BIBLIOTHEQUE/03_COMP-REAS/POPE- Learning to Reason on Hard Problems via Privileged On-Policy Exploration,COMP-REAS,14,0,21,4,hybrid_transformer_yes,high,"A@9: **Abstract:** Reinforcement learning (RL) has improved the reasoning abilities of large language models (LLMs), yet state-of-the-art meth... | D@41: which measures the probability that at least one of k independent attempts from a model $\pi$ at the problem $\mathbf{x}$ succeeds. This ...",
